Trang,STT,Chức năng,Trạng thái,Hiện trạng,Giải pháp và Flow hoạt động
Thanh header,13,Tìm kiếm sản phẩm,Hoàn Thành,"- Lọc được các sản phẩm theo chữ cái gõ vào và đưa ra được các gợi ý
- Có thể lọc được sản phẩm khi nhập không dấu
- Danh sách hiển thị sản phẩm có tên, giá và cả hình ảnh của sản phẩm
","Giải pháp:
- Endpoint API JSON /api/search xử lý bởi SearchController.java, Service ProductService.java, DAO ProductDAO.java
- Sử dụng truy vấn SQL LIKE trên Collation không phân biệt dấu (utf8mb4_general_ci hoặc tương đương của MySQL)
Flow:
- Người dùng gõ chữ vào thanh tìm kiếm -> JS trigger sự kiện input -> Gửi AJAX GET tới /api/search?q=keyword
- SearchController.doGet() gọi productService.searchProducts(keyword)
- ProductDAO.searchByName(keyword) thực thi câu lệnh SQL tìm kiếm
- Trả về danh sách JSON chứa tối đa 8 sản phẩm. JS vẽ giao diện dropdown gợi ý kết quả dưới thanh tìm kiếm"
,14,Lịch sử tìm kiếm,Giảm tải,"Mong muốn: ""- Người dùng không phải gõ lại từ đầu mỗi khi muốn tìm lại sản phẩm trước đó.
- Hỗ trợ nhu cầu của khách hàng bằng cách tìm kiếm sản phẩm theo chữ cái và tên của các loại rau/ củ/ quả""",
,15,Hỗ trợ khách hàng,Hoàn Thành,"- Tích hợp thành nút bấm để chuyển tiếp tới cuộc gọi trực tiếp, hay Zalo để nhanh chóng liên lạc.","Giải pháp:
- Thẻ HTML static link <a> trên header/footer
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,16,Tài khoản,Hoàn Thành,"- Khi chưa đăng nhập sẽ chỉ hiện phần đăng nhập
- Sau khi đăng nhập nếu user di chuyển con trỏ vào sẽ hiển thị gồm: 
+ Hồ sơ của tôi
+ Đơn hàng
+ Ví voucher
+ Đăng xuất
","Giải pháp:
- Conditional rendering trong JSTL (c:if) kiểm tra đối tượng auth trong Session
Flow:
- Khi server render file JSP, kiểm tra ${sessionScope.auth}
- Nếu null, hiển thị nút đăng nhập
- Nếu khác null, hiển thị tên user và khối HTML dropdown chứa các liên kết: /ho-so, /ho-so/don-hang, /ho-so?tab=wishlist, /logout"
,17,Wishlist,Hoàn Thành,"- Có icon trái tim và hiện được số lượng sản phẩm đang được thêm vào
- Khi click vào icon, dẫn người dùng đến trang danh sách sản phẩm yêu thích.
- Đồng bộ Wishlist theo tài khoản
- Icon tự động nảy số khi được người dùng ấn vào biểu tượng trái tim từ thẻ Sản phẩm.","Giải pháp:
- API /api/wishlist, servlet WishlistController.java
- Lưu trữ danh sách yêu thích trong DB qua bảng wishlists
Flow:
- Khi người dùng load trang, Servlet lấy số lượng yêu thích từ wishlistService.getWishlistCount(userId) và set vào session.setAttribute(""wishlistCount"", count)
- Khi nhấn nút yêu thích ở thẻ sản phẩm -> Gửi AJAX POST /api/wishlist?productId=X -> WishlistController.doPost() thêm/xóa DB -> Trả về JSON chứa wishlistCount mới -> JS cập nhật số lượng hiển thị trên Badge trái tim ở header"
,18,Thông báo,Hoàn Thành,"- Thông báo khuyến mãi 
- Thông báo thông tin đơn hàng, trạng thái (chờ xác nhận, đang xử lý, đang giao, hoàn thành, đã hủy, đã được hoàn tiền)...","Giải pháp:
- UserNotificationService.java và NotificationDAO.java lưu dữ liệu vào bảng notifications
Flow:
- Các nghiệp vụ đặt hàng, hủy đơn, hoặc Admin tạo Flash Sale sẽ gọi userNotificationService.createNotification(...)
- Khi người dùng xem danh sách thông báo trên header -> JS gọi API lấy thông báo -> Hiển thị danh sách thông báo của user sắp xếp theo thời gian mới nhất"
,19,Giỏ hàng,Hoàn Thành,"- Có biểu tượng giỏ hàng và hiển thị số lượng sản phẩm được thêm vào bên trong giỏ.
- tự động reload khi thêm sản phẩm vào giỏ.","Giải pháp:
- Lưu trữ giỏ hàng trong Redis kết hợp AJAX
Flow:
- Click thêm vào giỏ -> Gửi POST tới /api/cart -> AddToCartController.doPost() thêm sản phẩm -> Cập nhật session.setAttribute(""cartCount"", cartCount) -> Trả về JSON -> Frontend JS cập nhật badge giỏ hàng trên header không cần tải lại trang"
Thanh footer,20,Đăng ký email nhận tin,Hoàn Thành,"- Đã cho phép nhập email và có thông báo thành công.
- Có validation để email đúng định dạng.","Giải pháp:
- Form đăng ký gửi AJAX POST, kiểm tra định dạng email bằng JavaScript trước khi gửi và Servlet Regex ở backend
Flow:
- Người dùng nhập email ở footer, nhấn đăng ký -> JS kiểm tra format email -> Gửi POST /api/newsletter -> Lưu email vào bảng newsletters trong DB"
,21,Theo dõi chúng tôi ,Hoàn Thành,- Các icon mạng xã hội giúp người dùng có thể tìm kiếm thêm nhiều nguồn thông tin về Web,"Giải pháp:
- Static HTML links trỏ tới URL mạng xã hội và các trang tĩnh động /static-page?type=policy_xyz quản lý bởi Admin
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,22,Chính sách,Hoàn Thành,- Các chính sách có đường dẫn chuyển trang khi click vào hỗ trợ người dùng nắm được các thông tin của web,"Giải pháp:
- Static HTML links trỏ tới URL mạng xã hội và các trang tĩnh động /static-page?type=policy_xyz quản lý bởi Admin
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
"Thông tin tài khoản 
/ho-so",23,Thông tin người dùng,Hoàn Thành,"Đã lấy được thông tin người dùng nhập vào để hiển thị lên trang hồ sơ (tên, email, sdt) ","Giải pháp:
- Đọc đối tượng User từ Session attribute auth và hiển thị bằng Expression Language (EL) trên HoSo.jsp
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,24,Chỉnh sửa thông tin user,Hoàn Thành,"- Chỉnh sửa các thông tin Tên người dùng, Số điện thoại.
- Đã tích hợp validation SĐT đề phòng user nhập bừa, thiếu.","Giải pháp:
- Servlet /ho-so/update xử lý POST, UserService.java
Flow:
- Khách hàng thay đổi Tên hoặc SĐT -> Nhấn Lưu -> Gửi POST lên Servlet
- Servlet validate SĐT bằng Regex ^0\\d{9,}$
- Gọi userService.updateProfile(userId, name, phone) cập nhật DB
- Cập nhật lại đối tượng user mới trong session"
,25,Xác thực email,Hoàn Thành,"- Thiết lập hệ thống tự gửi mã xác nhận đến hòm thư email của user để xác thực email Tài khoản.
- Mở rộng thêm: về cơ chế web bán hàng thì việc xác nhận email của khách hàng chỉ mang tính chất xác thực, và người sử dụng có thể là người lớn tuổi không hiểu rõ về công nghệ, nên có thể không cần đến email, hay xác thực email.","Giải pháp:
- Thực hiện nghiệp vụ logic trên server.
Flow:
- Gửi yêu cầu từ giao diện -> Controller nhận xử lý -> Cập nhật UI."
,26,Xác thực SĐT,Giảm tải,"Mong muốn: ""- Thiết lập hệ thống tự gửi mã xác nhận đến Zalo user hoặc trình giả lập sms tới SĐT để xác thực.
- Mở rộng thêm: Nên có cơ chế này để tránh Spam, đặt đơn ảo, thuận tiện cho việc mkt các chương trình hay hỗ trợ chăm sóc khách hàng xử lý vấn đề nhanh chóng tiện lợi hơn.""",
,27,Điểm thưởng của tôi,Giảm tải,"Mong muốn: ""- Thiết lập hệ thống tự gửi mã xác nhận đến Zalo user hoặc trình giả lập sms tới SĐT để xác thực.
- Mở rộng thêm: Nên có cơ chế này để tránh Spam, đặt đơn ảo, thuận tiện cho việc mkt các chương trình hay hỗ trợ chăm sóc khách hàng xử lý vấn đề nhanh chóng tiện lợi hơn.""",
,28,Lưu thay đổi,Hoàn Thành,"- Sau khi lưu trang web tự động cập nhật dữ liệu mới nhất mà không cần người dùng phải tải lại trang (F5) thủ công.
- Nút lưu có thể tạm ẩn hoặc mờ đi sau khi nhấn để tránh việc người dùng bấm liên tục gây trùng lặp dữ liệu ","Giải pháp:
- Sử dụng Fetch API (AJAX) kết hợp thuộc tính disabled của nút submit trong JavaScript
Flow:
- Click ""Lưu thay đổi"" -> JS chặn hành vi submit mặc định -> Set btnSave.disabled = true và đổi nhãn thành ""Đang lưu...""
- Gửi request AJAX POST chứa dữ liệu form -> Nhận phản hồi JSON thành công -> Hiển thị Toast thông báo thành công -> Set btnSave.disabled = false"
"Đơn hàng của bạn 
/ho-so/don-hang",29,Tất cả,Hoàn Thành,- Hiện thị tất cá đơn hàng đang có,"Giải pháp:
- Servlet UserOrderController.java, Service OrderService.java, DAO OrderDAO.java
Flow:
- Người dùng chọn tab trạng thái -> Gọi GET /ho-so/don-hang?status=status_name
- UserOrderController.doGet() bắt tham số status
- Gọi orderService.getOrdersByUserIdAndStatus(userId, status)
- Trả về danh sách đơn hàng và chuyển tiếp sang JSP vẽ giao diện"
,30,Chờ xác nhận,Hoàn Thành,- Hiện thị đơn hàng đang Chờ xác nhận,"Giải pháp:
- Servlet UserOrderController.java, Service OrderService.java, DAO OrderDAO.java
Flow:
- Người dùng chọn tab trạng thái -> Gọi GET /ho-so/don-hang?status=status_name
- UserOrderController.doGet() bắt tham số status
- Gọi orderService.getOrdersByUserIdAndStatus(userId, status)
- Trả về danh sách đơn hàng và chuyển tiếp sang JSP vẽ giao diện"
,31,Đang xử lý,Hoàn Thành,- Hiện thị đơn hàng đang Đang xử lý,"Giải pháp:
- Servlet UserOrderController.java, Service OrderService.java, DAO OrderDAO.java
Flow:
- Người dùng chọn tab trạng thái -> Gọi GET /ho-so/don-hang?status=status_name
- UserOrderController.doGet() bắt tham số status
- Gọi orderService.getOrdersByUserIdAndStatus(userId, status)
- Trả về danh sách đơn hàng và chuyển tiếp sang JSP vẽ giao diện"
,32,Đang giao,Hoàn Thành,- Hiện thị đơn hàng đang Đang giao,"Giải pháp:
- Servlet UserOrderController.java, Service OrderService.java, DAO OrderDAO.java
Flow:
- Người dùng chọn tab trạng thái -> Gọi GET /ho-so/don-hang?status=status_name
- UserOrderController.doGet() bắt tham số status
- Gọi orderService.getOrdersByUserIdAndStatus(userId, status)
- Trả về danh sách đơn hàng và chuyển tiếp sang JSP vẽ giao diện"
,33,Hoàn thành,Hoàn Thành,- Hiện thị đơn hàng đang Hoàn thành,"Giải pháp:
- Servlet UserOrderController.java, Service OrderService.java, DAO OrderDAO.java
Flow:
- Người dùng chọn tab trạng thái -> Gọi GET /ho-so/don-hang?status=status_name
- UserOrderController.doGet() bắt tham số status
- Gọi orderService.getOrdersByUserIdAndStatus(userId, status)
- Trả về danh sách đơn hàng và chuyển tiếp sang JSP vẽ giao diện"
,34,Hoàn tiền,Hoàn Thành,"- Sẽ có một from để gửi yêu cầu, kèm các thông tin như: thông tin đơn hàng, tổng số tiền, thời gian hoàn tiền, lý do, mô tả chi tiết, hình ảnh, video , có hệ thống chat chăm sóc khách hàng, và hiện thị các thông tin về đơn hàng hoàn tiền như ngân hàng, số tài khoản, tên chủ tài khoản.","Giải pháp:
- RefundRequestController.java, RefundService.java, RefundDAO.java, CloudinaryService.java
Flow:
- Khách hàng click ""Yêu cầu hoàn tiền"" tại đơn hàng đã hoàn thành -> Điền form, tải ảnh/video minh chứng
- Hệ thống gọi CloudinaryService upload ảnh/video lên Cloudinary và lấy URL
- Lưu thông tin yêu cầu hoàn tiền vào DB với trạng thái PENDING
- Tạo một AdminNotification báo cho Admin xử lý"
,35,Đánh giá sản phẩm,Hoàn Thành,"Người dùng đánh giá được sản phẩm:                                                                                                                                                                                    - Chỉ user đã mua sản phẩm trong đơn hàng của chính họ mới được đánh giá.
- Đơn hàng đó phải ở trạng thái hoàn thành thì mới được đánh giá
- Mỗi dòng sản phẩm trong đơn hàng chỉ được đánh giá 1 lần.
- Dù mua số lượng bao nhiêu trong cùng một dòng sản phẩm thì cũng chỉ được đánh giá 1 lần.
- Nội dung đánh giá: Số sao: bắt buộc; nội dung: có thể có hoặc không; ảnh: có thể không có, hoặc tối đa 5 ảnh + 1 video mỗi file <= 10MB
- Ở trang ho-so/don-hang có nút đánh giá,  sản phẩm chư đánh giá thì sẽ đánh giá , đánh giá rôi có quyền sửa đánh giá 1 lần","Giải pháp:
- UserOrderController.java (doPost), ReviewDAO.java, ReviewImageDAO.java, CloudinaryService.java
Flow:
- Khách hàng click ""Đánh giá sản phẩm"" ở đơn hàng
- Gửi POST tới /ho-so/don-hang với action=review kèm: orderId, productId, variantId, rating, reviewText, và mediaFiles (ảnh/video)
- UserOrderController.handleSubmitReview() kiểm tra trạng thái đơn hàng (completed), kiểm tra xem sản phẩm trong đơn hàng đã được đánh giá chưa qua reviewDAO.existsByUserAndOrderAndProduct
- Xác thực số lượng file (tối đa 5 ảnh, 1 video) và kích thước (<=10MB)
- Thực hiện upload media lên Cloudinary, lưu thông tin đánh giá vào DB (reviewDAO.insert), và lưu các link ảnh/video vào bảng review_images"
,36,Đã hủy,Hoàn Thành,- Hiện thị đơn hàng đang đã hủy,"Giải pháp:
- Servlet UserOrderController.java, Service OrderService.java, DAO OrderDAO.java
Flow:
- Người dùng chọn tab trạng thái -> Gọi GET /ho-so/don-hang?status=status_name
- UserOrderController.doGet() bắt tham số status
- Gọi orderService.getOrdersByUserIdAndStatus(userId, status)
- Trả về danh sách đơn hàng và chuyển tiếp sang JSP vẽ giao diện"
,37,Chi tiết đơn hàng,Hoàn Thành,"- Xem đẩy đủ các thông tin, sản phẩm thuộc đơn hàng đó","Giải pháp:
- UserOrderController.java (doGet với tham số id), OrderService.java
Flow:
- Click ""Xem chi tiết"" đơn hàng -> Gọi /ho-so/don-hang/detail?id=X
- Servlet lấy thông tin đơn hàng (orderService.getOrderById), danh sách items (orderService.getOrderItems), lịch sử trạng thái (orderService.getStatusHistory)
- Forward dữ liệu sang ChiTietDonHang.jsp"
"Sổ địa chỉ
/ho-so?tab=address",38,Thêm địa chỉ mới,Hoàn Thành,"- Có tích hợp validation SĐT, địa chỉ, đề phòng user nhập sai/thiếu
- Đồng bộ với địa chỉ trang thanh toán.","Giải pháp:
- AddressApiController.java (doGet/doPost/doPut/doDelete), AddressService.java, AddressDAO.java
- Sử dụng Soft Delete (ẩn địa chỉ) để không làm ảnh hưởng tới các đơn hàng cũ đã đặt
Flow:
- Thêm địa chỉ mới (POST)**: Nhận thông tin địa chỉ -> Validate định dạng -> Gọi addressService.createAddress(address) lưu DB
- Xóa địa chỉ (DELETE)**: Gọi /api/address?id=X -> Chuyển thành câu lệnh update cột is_deleted = true
- Đặt mặc định (PUT)**: Gọi /api/address/default?id=X -> Chạy transaction: set is_default = false cho tất cả địa chỉ của user, sau đó set is_default = true cho địa chỉ X"
,39,Cập nhật địa chỉ cũ,Hoàn Thành,"- Có tích hợp validation SĐT, địa chỉ, đề phòng user nhập sai/thiếu
- đồng bộ với sổ địa chỉ.","Giải pháp:
- AddressApiController.java (doGet/doPost/doPut/doDelete), AddressService.java, AddressDAO.java
- Sử dụng Soft Delete (ẩn địa chỉ) để không làm ảnh hưởng tới các đơn hàng cũ đã đặt
Flow:
- Thêm địa chỉ mới (POST)**: Nhận thông tin địa chỉ -> Validate định dạng -> Gọi addressService.createAddress(address) lưu DB
- Xóa địa chỉ (DELETE)**: Gọi /api/address?id=X -> Chuyển thành câu lệnh update cột is_deleted = true
- Đặt mặc định (PUT)**: Gọi /api/address/default?id=X -> Chạy transaction: set is_default = false cho tất cả địa chỉ của user, sau đó set is_default = true cho địa chỉ X"
,40,Người dùng xóa địa chỉ ( ẩn địa chỉ ),Hoàn Thành,- Người dùng có thể xóa đi địa chỉ ,"Giải pháp:
- AddressApiController.java (doGet/doPost/doPut/doDelete), AddressService.java, AddressDAO.java
- Sử dụng Soft Delete (ẩn địa chỉ) để không làm ảnh hưởng tới các đơn hàng cũ đã đặt
Flow:
- Thêm địa chỉ mới (POST)**: Nhận thông tin địa chỉ -> Validate định dạng -> Gọi addressService.createAddress(address) lưu DB
- Xóa địa chỉ (DELETE)**: Gọi /api/address?id=X -> Chuyển thành câu lệnh update cột is_deleted = true
- Đặt mặc định (PUT)**: Gọi /api/address/default?id=X -> Chạy transaction: set is_default = false cho tất cả địa chỉ của user, sau đó set is_default = true cho địa chỉ X"
,41,Thiết lập mặc định,Hoàn Thành,- Chọn một địa chỉ trong sổ địa chỉ thành địa chỉ chính tự động chọn trong phần thanh toán,"Giải pháp:
- AddressApiController.java (doGet/doPost/doPut/doDelete), AddressService.java, AddressDAO.java
- Sử dụng Soft Delete (ẩn địa chỉ) để không làm ảnh hưởng tới các đơn hàng cũ đã đặt
Flow:
- Thêm địa chỉ mới (POST)**: Nhận thông tin địa chỉ -> Validate định dạng -> Gọi addressService.createAddress(address) lưu DB
- Xóa địa chỉ (DELETE)**: Gọi /api/address?id=X -> Chuyển thành câu lệnh update cột is_deleted = true
- Đặt mặc định (PUT)**: Gọi /api/address/default?id=X -> Chạy transaction: set is_default = false cho tất cả địa chỉ của user, sau đó set is_default = true cho địa chỉ X"
"Đổi mật khẩu 
/ho-so?tab=password",42,Đổi mật khẩu người dùng,Hoàn Thành,"- Vô hiệu hoá toàn bộ session cũ, buộc tất cả out ra để yêu cầu đăng nhập lại mật khẩu mới
- Mật khẩu phải có ít nhất 8 ký tự, bao gồm chữ hoa, chữ thường, số và ký tự đặc biệt để bảo mật
- UI hiển thị 1 thanh cho thấy độ mạnh mật khẩu của người dùng đang nhập vào theo màu sắc.
- Khi người dùng gõ thoả mãn những mong đợi thì dòng chữ đổi màu
- Mật khẩu chỉ được chấp nhận khi đạt mức độ từ trung bình","Giải pháp:
- ChangePasswordController.java (doPost), AuthService.java
Flow:
- Người dùng nhập: Mật khẩu cũ, Mật khẩu mới, Xác nhận mật khẩu mới
- Servlet validate mật khẩu cũ khớp mật khẩu hiện tại trong DB
- Validate độ mạnh mật khẩu mới (Regex điểm $\ge 3$)
- Gọi authService.updatePassword(userId, newPassword) -> Cập nhật DB
- Hủy session hiện tại bằng session.invalidate() và redirect về /login"
"Sản phẩm yêu thích
/ho-so?tab=wishlist",43,Xóa khỏi yêu thích,Hoàn Thành,"Tích hợp tùy chọn sản phẩm hay toàn bộ sản phẩm có trong wishlist để xóa nhanh:
- Đã có checkbox để chọn 1 hoặc nhiều sản phẩm
- Có chức năng chọn tất cả 
- Cho phép xóa hàng loạt sản phẩm đã chọn","Giải pháp:
- WishlistController.java (doDelete) hỗ trợ nhận danh sách IDs phân cách bởi dấu phẩy
Flow:
- Người dùng tick chọn các sản phẩm yêu thích, click ""Xóa đã chọn""
- Gửi request DELETE tới /api/wishlist?productIds=12,15,18
- Servlet đọc tham số productIds, split chuỗi bằng dấu phẩy , thành danh sách các ID
- Lần lượt gọi wishlistService.removeFromWishlist(userId, productId) để xóa DB
- Cập nhật lại wishlistCount trên session và trả về JSON"
